name;lat;lng;type
Białystok University of Technology ;53.1171081;23.14589299;university
Orthodox church of St. George in Białystok;53.10981606;23.13005941;orthodox church
The Cathedral of St. Nicholas the Wonderworker Archbishop of Myria in Lycia;53.13265997;23.1545084;orthodox church
Academic Church of Saint Mary Magdalene, Equal-to-the-Apostles;53.12984386;23.1484526;orthodox church
Church of the Holy Spirit;53.14696283;23.12161749;orthodox church
Orthodox Church of the Polish Military Ordinariate;53.13388197;23.16889637;orthodox church
Orthodox Parish of the Resurrection;53.13148201;23.09882105;orthodox church
Orthodox Culture Center;53.13208112;23.15418651;orthodox church
War cemetery from 1920.;53.11987749;23.16112329;cemetery
The Tomb of the Unknown Soldier;53.11973156;23.16087228;memorial
Former Jewish cemetery;53.1258773;23.14578739;memorial
The cemetery of Soviet soldiers;53.10065352;23.13766783;cemetery
Jewish Cemetery;53.15097293;23.19631167;cemetery
Białystok University of Technology Faculty of Architecture;53.12904208;23.14600555;university
Białystok University of Technology Faculty of Engineering Management;53.09855533;23.12682201;university
Library of Bialystok University of Techhnology;53.11914057;23.15453627;library
University of Bialystok;53.11545972;23.14844225;university
The campus of the University of Bialystok;53.10837167;23.15432519;university
University of Bialystok Faculty of Economics and Finance;53.1299937;23.17534479;university
University of Bialystok Facultty of History;53.13145341;23.15468337;university
University of Bialystok Faculty of Law;53.12878586;23.16888538;university
Branicki Palace;53.13056985;23.16531295;landmark
Library of Medical University of Białystok;53.130379;23.16550643;library
Park Garden Palace of Branicki;53.13005111;23.16392152;park
Białystok Medical University Museum;53.13130088;23.16556884;museum
Cathedral Basilica of the Assumption of the Blessed Virgin Mary;53.13236895;23.16308659;catholic church
St. Roch's Church;53.13446756;23.14482679;catholic church
Roman Catholic Church of St. Anne;53.12615846;23.1511386;catholic church
Roman Catholic Church of St. Padre Pio;53.11942526;23.1742953;catholic church
The Church of St. Wojciech;53.1304063;23.17406264;catholic church
The Church of Our Lady of Fatima;53.13684722;23.17318795;catholic church
Roman Catholic Church of of Divine Mercy;53.14485479;23.15494041;catholic church
WidziMiś Fan;53.10757798;23.14733472;bear
WidziMiś Bluesman;53.13126755;23.15829494;bear
WidziMiś Student;53.13130093;23.15458603;bear
WidziMiś Zoo;53.12131875;23.16525995;bear
WidziMiś Athlete;53.11980647;23.15879774;bear
WidziMiś Hetman;53.13070572;23.16683427;bear
WidziMiś Actor;53.13351341;23.16189586;bear
WidziMiś Nicolaus;53.13262396;23.15534641;bear
WidziMiś Icescater;53.12123605;23.16136179;bear
WidziMiś Ursido;53.13479894;23.16097934;bear
WidziMiś Hetman's Wife;53.12904319;23.16172339;bear
WidziMiś Amorous;53.12838455;23.16805259;bear
WidziMiś Fireman;53.1356793806791;23.16687976546565;bear
WidziMiś Salesman;53.13382366;23.17366929;bear
WidziMiś Cupid;53.1324476;23.16670846;bear
WidziMiś Puppetmaster;53.13108728;23.15091939;bear
WidziMiś Chajanek;53.1292927;23.15323262;bear
WidziMiś with a Ball;53.13377194;23.15774319;bear
WidziMiś Sculptor;53.12483125;23.16641667;bear
WidziMiś Teacher;53.13352784;23.17144023;bear
WidziMiś Bugle Caller;53.13221852;23.159174;bear
WidziMiś Bojarski;53.1328857;23.1779474;bear
WidziMiś Film Fan;53.12977182;23.1583885;bear
WidziMiś Beachgoer;53.10960596;23.21927089;bear
WidziMiś with a Watering Can;53.1362537;23.15404667;bear
Kościuszko Square;53.132344430677605;23.159502189373438;landmark
Planty Park;53.12637015959452;23.16631787506908;park
Constitution of May 3rd Park;53.12098976110935;23.164606558622594;park
Zwierzyniecki Forrest;53.114840978235776;23.159498786524686;park
Central Park;53.13071445795311;23.15267121893019;park
Old Park;53.130567437317694;23.167922617040798;park
Antoniuk Park;53.140677190412916;23.12092983001156;park
Sybir Memorial Museum;53.14324549991684;23.175902520603955;museum
Lugwik Zamenhof Centre;53.133598214221784;23.169812314596598;museum
Historical Museum;53.13203114757728;23.172196464034776;museum
Army Museum;53.13218692238351;23.166471773314388;museum
Podlasie Opera and Philharmonic;53.13003135539408;23.150198891281175;landmark
Train Station;53.134053841378595;23.135548509838987;train
